Year,Age_Group,Total
1971,0-17 Children,15798121
1971,18-64 Working age,32721728
1971,65+ Older adults,7281463
1972,0-17 Children,15845714
1972,18-64 Working age,32718096
1972,65+ Older adults,7400227
1973,0-17 Children,15868542
1973,18-64 Working age,32696287
1973,65+ Older adults,7521732
1974,0-17 Children,15796258
1974,18-64 Working age,32654690
1974,65+ Older adults,7644759
1975,0-17 Children,15674231
1975,18-64 Working age,32650703
1975,65+ Older adults,7756412
1976,0-17 Children,15506891
1976,18-64 Working age,32711874
1976,65+ Older adults,7850022
1977,0-17 Children,15291405
1977,18-64 Working age,32796168
1977,65+ Older adults,7950492
1978,0-17 Children,15077765
1978,18-64 Working age,32886085
1978,65+ Older adults,8054975
1979,0-17 Children,14888056
1979,18-64 Working age,33034445
1979,65+ Older adults,8151525
1980,0-17 Children,14694729
1980,18-64 Working age,33211804
1980,65+ Older adults,8252105
1981,0-17 Children,14471914
1981,18-64 Working age,33409918
1981,65+ Older adults,8300776
1982,0-17 Children,14201240
1982,18-64 Working age,33615944
1982,65+ Older adults,8296399
1983,0-17 Children,13933505
1983,18-64 Working age,33959178
1983,65+ Older adults,8241473
1984,0-17 Children,13700256
1984,18-64 Working age,34311299
1984,65+ Older adults,8210524
1985,0-17 Children,13530037
1985,18-64 Working age,34446122
1985,65+ Older adults,8383129
1986,0-17 Children,13401319
1986,18-64 Working age,34575595
1986,65+ Older adults,8505006
1987,0-17 Children,13275358
1987,18-64 Working age,34711569
1987,65+ Older adults,8604964
1988,0-17 Children,13195247
1988,18-64 Working age,34831721
1988,65+ Older adults,8669750
1989,0-17 Children,13114476
1989,18-64 Working age,34997704
1989,65+ Older adults,8734171
1990,0-17 Children,13083540
1990,18-64 Working age,35150588
1990,65+ Older adults,8765492
1991,0-17 Children,13119654
1991,18-64 Working age,35260020
1991,65+ Older adults,8811199
1992,0-17 Children,13170657
1992,18-64 Working age,35311564
1992,65+ Older adults,8839387
1993,0-17 Children,13222938
1993,18-64 Working age,35354280
1993,65+ Older adults,8855603
1994,0-17 Children,13307582
1994,18-64 Working age,35400379
1994,65+ Older adults,8863085
1995,0-17 Children,13399912
1995,18-64 Working age,35429030
1995,65+ Older adults,8889736
1996,0-17 Children,13469702
1996,18-64 Working age,35471449
1996,65+ Older adults,8906513
1997,0-17 Children,13493999
1997,18-64 Working age,35576700
1997,65+ Older adults,8915634
1998,0-17 Children,13472194
1998,18-64 Working age,35732731
1998,65+ Older adults,8925896
1999,0-17 Children,13457282
1999,18-64 Working age,35949641
1999,65+ Older adults,8923873
2000,0-17 Children,13406366
2000,18-64 Working age,36171902
2000,65+ Older adults,8944058
2001,0-17 Children,13356998
2001,18-64 Working age,36383180
2001,65+ Older adults,8996032
2002,0-17 Children,13317506
2002,18-64 Working age,36618334
2002,65+ Older adults,9041899
2003,0-17 Children,13282972
2003,18-64 Working age,36864194
2003,65+ Older adults,9091703
2004,0-17 Children,13260882
2004,18-64 Working age,37139856
2004,65+ Older adults,9142761
2005,0-17 Children,13250596
2005,18-64 Working age,37547696
2005,65+ Older adults,9199298
2006,0-17 Children,13235519
2006,18-64 Working age,37937200
2006,65+ Older adults,9236235
2007,0-17 Children,13276083
2007,18-64 Working age,38299993
2007,65+ Older adults,9325222
2008,0-17 Children,13324495
2008,18-64 Working age,38605634
2008,65+ Older adults,9486959
2009,0-17 Children,13350658
2009,18-64 Working age,38838002
2009,65+ Older adults,9650913
2010,0-17 Children,13388288
2010,18-64 Working age,39108441
2010,65+ Older adults,9809919
2011,0-17 Children,13446180
2011,18-64 Working age,39380779
2011,65+ Older adults,9972295
2012,0-17 Children,13499480
2012,18-64 Working age,39380010
2012,65+ Older adults,10318202
2013,0-17 Children,13561130
2013,18-64 Working age,39466783
2013,65+ Older adults,10584519
2014,0-17 Children,13619588
2014,18-64 Working age,39626546
2014,65+ Older adults,10824208
2015,0-17 Children,13673451
2015,18-64 Working age,39854516
2015,65+ Older adults,11006699
2016,0-17 Children,13753735
2016,18-64 Working age,40106863
2016,65+ Older adults,11179857
2017,0-17 Children,13797009
2017,18-64 Working age,40261637
2017,65+ Older adults,11334393
2018,0-17 Children,13832172
2018,18-64 Working age,40390765
2018,65+ Older adults,11491454
2019,0-17 Children,13866815
2019,18-64 Working age,40502051
2019,65+ Older adults,11669224
2020,0-17 Children,13857399
2020,18-64 Working age,40506725
2020,65+ Older adults,11787420
2021,0-17 Children,13820535
2021,18-64 Working age,40613721
2021,65+ Older adults,11945885
2022,0-17 Children,13963853
2022,18-64 Working age,40934793
2022,65+ Older adults,12127562
2023,0-17 Children,14134503
2023,18-64 Working age,41462825
2023,65+ Older adults,12317068
2024,0-17 Children,14259184
2024,18-64 Working age,41860587
2024,65+ Older adults,12536430
