Year,Total_Population,Prev_Year_Population,YoY_Change,YoY_Pct_Change
1971,55801312,,,
1972,55964037,55801312.0,162725.0,0.29
1973,56086561,55964037.0,122524.0,0.22
1974,56095707,56086561.0,9146.0,0.02
1975,56081346,56095707.0,-14361.0,-0.03
1976,56068787,56081346.0,-12559.0,-0.02
1977,56038065,56068787.0,-30722.0,-0.05
1978,56018825,56038065.0,-19240.0,-0.03
1979,56074026,56018825.0,55201.0,0.1
1980,56158638,56074026.0,84612.0,0.15
1981,56182608,56158638.0,23970.0,0.04
1982,56113583,56182608.0,-69025.0,-0.12
1983,56134156,56113583.0,20573.0,0.04
1984,56222079,56134156.0,87923.0,0.16
1985,56359288,56222079.0,137209.0,0.24
1986,56481920,56359288.0,122632.0,0.22
1987,56591891,56481920.0,109971.0,0.19
1988,56696718,56591891.0,104827.0,0.19
1989,56846351,56696718.0,149633.0,0.26
1990,56999620,56846351.0,153269.0,0.27
1991,57190873,56999620.0,191253.0,0.34
1992,57321608,57190873.0,130735.0,0.23
1993,57432821,57321608.0,111213.0,0.19
1994,57571046,57432821.0,138225.0,0.24
1995,57718678,57571046.0,147632.0,0.26
1996,57847664,57718678.0,128986.0,0.22
1997,57986333,57847664.0,138669.0,0.24
1998,58130821,57986333.0,144488.0,0.25
1999,58330796,58130821.0,199975.0,0.34
2000,58522326,58330796.0,191530.0,0.33
2001,58736210,58522326.0,213884.0,0.37
2002,58977739,58736210.0,241529.0,0.41
2003,59238869,58977739.0,261130.0,0.44
2004,59543499,59238869.0,304630.0,0.51
2005,59997590,59543499.0,454091.0,0.76
2006,60408954,59997590.0,411364.0,0.69
2007,60901298,60408954.0,492344.0,0.82
2008,61417088,60901298.0,515790.0,0.85
2009,61839573,61417088.0,422485.0,0.69
2010,62306648,61839573.0,467075.0,0.76
2011,62799254,62306648.0,492606.0,0.79
2012,63197692,62799254.0,398438.0,0.63
2013,63612432,63197692.0,414740.0,0.66
2014,64070342,63612432.0,457910.0,0.72
2015,64534666,64070342.0,464324.0,0.72
2016,65040455,64534666.0,505789.0,0.78
2017,65393039,65040455.0,352584.0,0.54
2018,65714391,65393039.0,321352.0,0.49
2019,66038090,65714391.0,323699.0,0.49
2020,66151544,66038090.0,113454.0,0.17
2021,66380141,66151544.0,228597.0,0.35
2022,67026208,66380141.0,646067.0,0.97
2023,67914396,67026208.0,888188.0,1.33
2024,68656201,67914396.0,741805.0,1.09
