Year,Avg_Age
1971,35.4
1972,35.4
1973,35.5
1974,35.6
1975,35.7
1976,35.9
1977,36.0
1978,36.2
1979,36.3
1980,36.4
1981,36.5
1982,36.6
1983,36.7
1984,36.9
1985,36.9
1986,37.0
1987,37.0
1988,37.1
1989,37.2
1990,37.2
1991,37.3
1992,37.3
1993,37.4
1994,37.5
1995,37.6
1996,37.7
1997,37.8
1998,37.9
1999,38.0
2000,38.1
2001,38.3
2002,38.4
2003,38.5
2004,38.5
2005,38.6
2006,38.7
2007,38.7
2008,38.8
2009,38.9
2010,39.0
2011,39.0
2012,39.1
2013,39.2
2014,39.4
2015,39.5
2016,39.6
2017,39.7
2018,39.8
2019,40.0
2020,40.2
2021,40.4
2022,40.4
2023,40.4
2024,40.4
