Year,Total Population
1851,27368800
1861,28917900
1871,31484700
1872,31874200
1873,32177600
1874,32501500
1875,32838800
1876,33200000
1877,33575900
1878,33943800
1879,34304000
1880,34622900
1881,34934500
1882,35206600
1883,35449700
1884,35724200
1885,36015500
1886,36313600
1887,36599100
1888,36881300
1889,37178900
1890,37484800
1891,37802400
1892,38134100
1893,38490300
1894,38859100
1895,39221100
1896,39599100
1897,39987300
1898,40380800
1899,40774300
1900,41154600
1901,41538200
1902,41892700
1903,42246600
1904,42611400
1905,42980800
1906,43361100
1907,43737800
1908,44123800
1909,44519500
1910,44915900
1911,42189800
1912,42373600
1913,42582300
1914,42956900
1915,41361500
1916,40536300
1917,39780700
1918,39582000
1919,42944100
1920,43646400
1921,43904100
1922,44331500
1923,44563100
1924,44885600
1925,45040000
1926,45217600
1927,45432000
1928,45622200
1929,45731000
1930,45888900
1931,46073600
1932,46335000
1933,46520000
1934,46666000
1935,46868500
1936,47081300
1937,47288600
1938,47494100
1939,47547700
1940,46029200
1941,44870400
1942,44323000
1943,48261600
1944,48459600
1945,48668900
1946,48987800
1947,49538700
1948,50033200
1949,50331000
1950,50381500
1951,50286900
1952,50429200
1953,50592900
1954,50764900
1955,50946100
1956,51183500
1957,51430200
1958,51652500
1959,51956300
1960,52372500
1961,52807400
1962,53291800
1963,53624900
1964,53990800
1965,54349500
1966,54642700
1967,54959000
1968,55213500
1969,55460600
1970,55632200
1971,55928000
1972,56096700
1973,56222900
1974,56235600
1975,56225700
1976,56216100
1977,56189900
1978,56178000
1979,56240100
1980,56329700
1981,56357500
1982,56290700
1983,56315700
1984,56409300
1985,56554000
1986,56683800
1987,56804000
1988,56916400
1989,57076500
1990,57237500
1991,57438700
1992,57584500
1993,57713900
1994,57862100
1995,58024800
1996,58164400
1997,58314200
1998,58474900
1999,58684400
2000,58886100
2001,59113016
2002,59365677
2003,59636662
2004,59950364
2005,60413276
2006,60826967
2007,61319075
2008,61823772
2009,62260486
2010,62759456
2011,63285145
2012,63710543
2013,64138221
2014,64618693
2015,65086958
2016,65605841
2017,65964292
2018,66286727
2019,66627507
2020,66739867
2021,66977988
2022,67636134
2023,68526183
2024,69281437
